Date,Team,Opponent,Result,Score,Opponent Score,HomeTeamAdvantage,PrevWeekBYE,RunningAvgScore,Wins,Losses,Home_Win_Rate,Away_Win_Rate
2023-09-02,196,7,W,40,14,1,0,40.0,1,0,1.0,0.0
2023-09-02,8,68,W,45,24,1,0,45.0,1,0,1.0,0.0
2023-09-02,68,8,L,24,45,0,0,24.0,0,1,1.0,0.0
2023-09-02,10,150,W,38,3,1,0,38.0,1,0,1.0,0.0
2023-09-02,150,10,L,3,38,0,0,3.0,0,1,0.0,0.0
2023-09-02,11,251,W,56,13,1,0,56.0,1,0,1.0,0.0
2023-09-02,251,11,L,13,56,0,0,13.0,0,1,1.0,0.0
2023-09-02,12,159,L,0,73,0,0,0.0,0,1,0.0,0.0
2023-09-02,159,12,W,73,0,1,0,73.0,1,0,1.0,1.0
2023-09-02,14,113,W,59,14,1,0,59.0,1,0,1.0,1.0
2023-09-02,113,14,L,14,59,0,0,27.5,1,1,0.0,0.5
2023-09-02,15,194,L,23,49,0,0,23.0,0,1,1.0,0.0
2023-09-02,194,15,W,49,23,1,0,49.0,1,0,1.0,1.0
2023-09-02,16,182,W,14,0,1,0,14.0,1,0,1.0,1.0
2023-09-02,182,16,L,0,14,0,0,0.0,0,1,0.0,0.0
2023-09-02,17,98,L,14,44,0,0,14.0,0,1,1.0,0.0
2023-09-02,98,17,W,44,14,1,0,44.0,1,0,1.0,1.0
2023-09-02,18,216,L,31,42,1,0,31.0,0,1,0.0,1.0
2023-09-02,216,18,W,42,31,0,0,42.0,1,0,1.0,1.0
2023-09-02,19,115,L,14,56,0,0,14.0,0,1,1.0,0.0
2023-09-02,115,19,W,56,14,1,0,56.0,1,0,1.0,1.0
2023-09-02,20,247,L,19,56,0,0,19.0,0,1,0.0,0.0
2023-09-02,247,20,W,56,19,1,0,56.0,1,0,1.0,1.0
2023-09-02,21,152,L,24,27,1,0,24.0,0,1,0.0,0.0
2023-09-02,152,21,W,27,24,0,0,27.0,1,0,0.0,1.0
2023-09-02,22,103,L,24,34,0,0,24.0,0,1,1.0,0.0
2023-09-02,103,22,W,34,24,1,0,34.0,1,0,1.0,1.0
2023-09-02,24,231,L,14,44,0,0,14.0,0,1,1.0,0.0
2023-09-02,231,24,W,44,14,1,0,44.0,1,0,1.0,0.0
2023-09-02,25,93,L,3,38,0,0,3.0,0,1,1.0,0.0
2023-09-02,93,25,W,38,3,1,0,38.0,1,0,1.0,1.0
2023-09-02,26,256,L,17,38,0,0,17.0,0,1,0.0,0.0
2023-09-02,256,26,W,38,17,1,0,38.0,1,0,1.0,0.0
2023-09-02,27,129,L,20,35,0,0,20.0,0,1,1.0,0.0
2023-09-02,129,27,W,35,20,1,0,35.0,1,0,1.0,1.0
2023-09-02,28,185,W,27,10,1,0,27.0,1,0,1.0,0.0
2023-09-02,185,28,L,10,27,0,0,10.0,0,1,0.0,0.0
2023-09-02,29,149,W,58,21,0,0,58.0,1,0,0.0,1.0
2023-09-02,149,29,L,21,58,1,0,21.0,0,1,0.0,0.0
2023-09-02,31,160,L,13,27,0,0,13.0,0,1,1.0,0.0
2023-09-02,160,31,W,27,13,1,0,27.0,1,0,1.0,1.0
2023-09-02,35,189,W,24,3,1,0,24.0,1,0,1.0,0.0
2023-09-02,189,35,L,3,24,0,0,5.0,0,2,1.0,0.0
2023-09-02,36,143,L,27,41,0,0,27.0,0,1,1.0,0.0
2023-09-02,143,36,W,41,27,1,0,24.0,1,1,1.0,0.0
2023-09-02,37,56,W,66,13,1,0,66.0,1,0,1.0,1.0
2023-09-02,56,37,L,13,66,0,0,13.0,0,1,0.0,0.0
2023-09-02,39,228,L,13,27,0,0,13.0,0,1,1.0,0.0
2023-09-02,228,39,W,27,13,1,0,27.0,1,0,1.0,1.0
2023-09-02,40,205,L,0,65,0,0,0.0,0,1,0.0,0.0
2023-09-02,205,40,W,65,0,1,0,65.0,1,0,1.0,1.0
2023-09-02,41,206,W,45,42,0,0,45.0,1,0,1.0,1.0
2023-09-02,206,41,L,42,45,1,0,42.0,0,1,0.0,1.0
2023-09-02,42,248,L,24,50,1,0,24.0,0,1,0.0,0.0
2023-09-02,248,42,W,50,24,0,0,50.0,1,0,1.0,1.0
2023-09-02,46,239,L,7,12,0,0,7.0,0,1,0.0,0.0
2023-09-02,239,46,W,12,7,1,0,12.0,1,0,1.0,0.0
2023-09-02,47,85,L,0,41,0,0,0.0,0,1,1.0,0.0
2023-09-02,85,47,W,41,0,1,0,41.0,1,0,1.0,1.0
2023-09-02,50,147,L,7,55,0,0,7.0,0,1,0.0,0.0
2023-09-02,147,50,W,55,7,1,0,55.0,1,0,1.0,0.0
2023-09-02,53,121,L,3,30,0,0,3.0,0,1,0.0,0.0
2023-09-02,121,53,W,30,3,1,0,30.0,1,0,1.0,1.0
2023-09-02,54,92,L,3,49,0,0,3.0,0,1,1.0,0.0
2023-09-02,92,54,W,49,3,1,0,33.0,2,0,1.0,0.0
2023-09-02,58,148,L,10,35,0,0,10.0,0,1,1.0,0.0
2023-09-02,148,58,W,35,10,0,0,35.0,1,0,1.0,1.0
2023-09-02,61,128,W,42,20,1,0,42.0,1,0,1.0,0.0
2023-09-02,128,61,L,20,42,0,0,20.0,0,1,0.0,0.0
2023-09-02,63,109,W,14,12,1,0,15.5,1,1,1.0,0.0
2023-09-02,109,63,L,12,14,0,0,12.0,0,1,0.0,0.0
2023-09-02,65,245,W,46,16,1,0,29.5,1,1,1.0,0.0
2023-09-02,245,65,L,16,46,0,0,16.0,0,1,1.0,0.0
2023-09-02,66,172,W,39,35,0,0,39.0,1,0,1.0,1.0
2023-09-02,172,66,L,35,39,1,0,35.0,0,1,0.0,1.0
2023-09-02,69,110,W,49,7,1,0,49.0,1,0,1.0,0.0
2023-09-02,110,69,L,7,49,0,0,7.0,0,1,0.0,0.0
2023-09-02,70,233,W,48,7,1,0,48.0,1,0,1.0,1.0
2023-09-02,233,70,L,7,48,0,0,7.0,0,1,1.0,0.0
2023-09-02,71,218,W,34,0,1,0,34.0,1,0,1.0,0.0
2023-09-02,218,71,L,0,34,0,0,0.0,0,1,0.0,0.0
2023-09-02,74,75,L,31,35,0,0,31.0,0,1,1.0,0.0
2023-09-02,75,74,W,35,31,0,0,35.0,1,0,0.0,1.0
2023-09-02,78,117,W,42,20,1,0,42.0,1,0,1.0,0.0
2023-09-02,117,78,L,20,42,0,0,20.0,0,1,1.0,0.0
2023-09-02,80,235,W,17,14,1,0,17.0,1,0,1.0,0.0
2023-09-02,235,80,L,14,17,0,0,14.0,0,1,1.0,0.0
2023-09-02,82,184,L,28,36,0,0,28.0,0,1,0.0,0.0
2023-09-02,184,82,W,36,28,1,0,28.0,2,0,1.0,0.0
2023-09-02,84,219,W,30,28,1,0,30.0,1,0,1.0,0.0
2023-09-02,219,84,L,28,30,0,0,28.0,0,1,1.0,0.0
2023-09-02,86,234,L,14,28,0,0,14.0,0,1,1.0,0.0
2023-09-02,234,86,W,28,14,1,0,21.0,1,1,1.0,0.0
2023-09-02,87,158,L,3,23,1,0,3.0,0,1,0.0,0.0
2023-09-02,158,87,W,23,3,0,0,23.0,1,0,1.0,1.0
2023-09-02,89,236,W,24,14,1,0,24.0,1,0,1.0,1.0
2023-09-02,236,89,L,14,24,0,0,14.0,0,1,1.0,0.0
2023-09-02,90,153,W,30,9,1,0,30.0,1,0,1.0,0.0
2023-09-02,153,90,L,9,30,0,0,9.0,0,1,0.0,0.0
2023-09-02,95,193,W,45,0,1,0,45.0,1,0,1.0,0.0
2023-09-02,193,95,L,0,45,0,0,0.0,0,1,1.0,0.0
2023-09-02,100,181,W,19,14,0,0,19.0,1,0,1.0,1.0
2023-09-02,181,100,L,14,19,1,0,14.0,0,1,0.0,0.0
2023-09-02,102,242,L,10,38,1,0,10.0,0,1,0.0,1.0
2023-09-02,242,102,W,38,10,0,0,38.0,1,0,1.0,1.0
2023-09-02,105,157,L,10,27,0,0,10.0,0,1,0.0,0.0
2023-09-02,157,105,W,27,10,1,0,20.0,1,1,1.0,0.0
2023-09-02,106,154,W,38,13,1,0,38.0,1,0,1.0,0.0
2023-09-02,154,106,L,13,38,0,0,13.0,0,1,0.0,0.0
2023-09-02,107,179,L,14,38,0,0,18.0,1,1,1.0,0.0
2023-09-02,179,107,W,38,14,1,0,38.0,1,0,1.0,0.0
2023-09-02,111,225,W,21,17,1,0,21.0,1,0,1.0,1.0
2023-09-02,225,111,L,17,21,0,0,25.5,1,1,1.0,0.0
2023-09-02,112,220,W,38,6,1,0,38.0,1,0,1.0,1.0
2023-09-02,220,112,L,6,38,0,0,6.0,0,1,0.0,0.0
2023-09-02,114,207,L,34,52,1,0,34.0,0,1,0.0,0.0
2023-09-02,207,114,W,52,34,0,0,52.0,1,0,1.0,1.0
2023-09-02,116,162,L,7,73,0,0,12.0,1,1,1.0,0.5
2023-09-02,162,116,W,73,7,1,0,73.0,1,0,1.0,1.0
2023-09-02,124,178,W,48,7,1,0,48.0,1,0,1.0,0.0
2023-09-02,178,124,L,7,48,0,0,7.0,0,1,0.0,0.0
2023-09-02,130,237,W,63,20,1,0,63.0,1,0,1.0,0.0
2023-09-02,237,130,L,20,63,0,0,20.0,0,1,0.0,0.0
2023-09-02,132,175,W,17,10,0,0,17.0,1,0,0.0,1.0
2023-09-02,175,132,L,10,17,1,0,10.0,0,1,0.0,0.0
2023-09-02,133,170,W,41,10,1,0,41.0,1,0,1.0,0.0
2023-09-02,170,133,L,10,41,0,0,10.0,0,1,1.0,0.0
2023-09-02,137,232,L,14,66,0,0,14.0,0,1,0.0,0.0
2023-09-02,232,137,W,66,14,1,0,61.0,2,0,1.0,1.0
2023-09-02,138,203,W,51,17,0,0,51.0,1,0,1.0,1.0
2023-09-02,203,138,L,17,51,1,0,17.0,0,1,0.0,1.0
2023-09-02,139,212,L,10,52,0,0,10.0,0,1,1.0,0.0
2023-09-02,212,139,W,52,10,1,0,52.0,1,0,1.0,0.0
2023-09-02,140,252,W,58,21,1,0,44.0,1,1,0.5,0.0
2023-09-02,252,140,L,21,58,0,0,21.0,0,1,0.0,0.0
2023-09-02,146,188,W,31,17,0,0,31.0,1,0,1.0,1.0
2023-09-02,188,146,L,17,31,0,0,17.0,0,1,1.0,0.0
2023-09-02,156,209,W,56,3,1,0,49.0,2,0,1.0,1.0
2023-09-02,209,156,L,3,56,0,0,3.0,0,1,1.0,0.0
2023-09-02,161,244,L,17,36,0,0,17.0,0,1,1.0,0.0
2023-09-02,244,161,W,36,17,1,0,36.0,1,0,1.0,0.0
2023-09-02,163,168,W,81,7,1,0,81.0,1,0,1.0,1.0
2023-09-02,168,163,L,7,81,0,0,7.0,0,1,1.0,0.0
2023-09-02,165,250,W,38,15,1,0,38.0,1,0,1.0,1.0
2023-09-02,250,165,L,15,38,0,0,15.0,0,1,1.0,0.0
2023-09-02,167,257,W,45,7,1,0,45.0,1,0,1.0,0.0
2023-09-02,257,167,L,7,45,0,0,7.0,0,1,0.0,0.0
2023-09-02,169,215,W,37,34,0,0,37.0,1,0,0.0,1.0
2023-09-02,215,169,L,34,37,1,0,34.0,0,1,0.0,0.0
2023-09-02,174,214,L,10,37,0,0,10.0,0,1,1.0,0.0
2023-09-02,214,174,W,37,10,1,0,37.0,1,0,1.0,1.0
2023-09-02,187,222,L,17,37,0,0,17.0,0,1,1.0,0.0
2023-09-02,222,187,W,37,17,1,0,37.0,1,0,1.0,1.0
2023-09-02,192,253,L,24,41,0,0,24.0,0,1,1.0,0.0
2023-09-02,253,192,W,41,24,1,0,41.0,1,0,1.0,0.0
2023-09-02,201,221,L,30,48,0,0,30.0,0,1,1.0,0.0
2023-09-02,221,201,W,48,30,1,0,48.0,1,0,1.0,0.0
2023-09-02,211,243,W,49,13,0,0,49.0,1,0,1.0,1.0
2023-09-02,243,211,L,13,49,0,0,13.0,0,1,0.0,0.0
2023-09-02,217,258,L,33,35,0,0,33.0,0,1,0.0,0.0
2023-09-02,258,217,W,35,33,1,0,35.0,1,0,1.0,0.0
2023-09-03,60,91,W,28,10,0,0,28.0,1,0,1.0,1.0
2023-09-03,91,60,L,10,28,0,1,23.5,1,1,1.0,0.5
2023-09-03,64,99,W,45,24,0,0,45.0,1,0,1.0,1.0
2023-09-03,99,64,L,24,45,0,0,24.0,0,1,1.0,0.0
2023-09-03,155,177,L,7,24,0,0,7.0,0,1,1.0,0.0
2023-09-03,177,155,W,24,7,1,0,24.0,1,0,1.0,0.0
2023-09-03,164,186,W,42,17,0,0,42.0,1,0,1.0,1.0
2023-09-03,186,164,L,17,42,1,1,22.5,0,2,0.0,0.0
2023-09-04,38,51,L,7,28,0,0,7.0,0,1,1.0,0.0
2023-09-04,51,38,W,28,7,1,0,28.0,1,0,1.0,1.0
2023-09-07,108,133,W,56,0,1,0,47.5,2,0,1.0,1.0
2023-09-07,133,108,L,0,56,0,0,20.5,1,1,1.0,0.0
2023-09-08,84,94,L,23,34,0,0,26.5,1,1,1.0,0.0
2023-09-08,94,84,W,34,23,1,0,41.0,2,0,1.0,1.0
2023-09-08,87,88,W,41,7,1,0,22.0,1,1,0.5,0.0
2023-09-08,88,87,L,7,41,0,0,3.5,0,2,0.0,0.0
2023-09-08,173,204,W,35,14,1,0,35.0,1,1,1.0,0.0
2023-09-08,204,173,L,14,35,0,0,13.5,0,2,0.0,0.0
2023-09-09,1,169,W,45,16,0,0,38.0,2,0,1.0,1.0
2023-09-09,169,1,L,16,45,1,0,26.5,1,1,0.0,1.0
2023-09-09,2,182,W,13,3,0,0,27.5,2,0,1.0,1.0
2023-09-09,182,2,L,3,13,0,0,1.5,0,2,0.0,0.0
2023-09-09,3,132,W,24,21,1,0,22.5,1,1,1.0,0.0
2023-09-09,132,3,L,21,24,0,0,19.0,1,1,0.0,0.5
2023-09-09,5,214,L,24,34,1,0,40.0,1,1,0.5,1.0
2023-09-09,214,5,W,34,24,0,0,35.5,2,0,1.0,1.0
2023-09-09,7,201,L,10,38,0,0,12.0,0,2,1.0,0.0
2023-09-09,201,7,W,38,10,1,0,34.0,1,1,1.0,0.0
2023-09-09,8,146,L,34,40,0,0,39.5,1,1,1.0,0.0
2023-09-09,146,8,W,40,34,1,0,35.5,2,0,1.0,1.0
2023-09-09,9,160,L,15,27,1,0,19.5,1,1,0.5,0.0
2023-09-09,160,9,W,27,15,0,0,27.0,2,0,1.0,1.0
2023-09-09,10,124,L,24,31,0,0,31.0,1,1,1.0,0.0
2023-09-09,124,10,W,31,24,1,0,39.5,2,0,1.0,0.0
2023-09-09,11,97,W,28,6,1,0,42.0,2,0,1.0,0.0
2023-09-09,97,11,L,6,28,0,0,6.0,0,2,1.0,0.0
2023-09-09,12,115,L,3,37,1,0,1.5,0,2,0.0,0.0
2023-09-09,115,12,W,37,3,0,0,46.5,2,0,1.0,1.0
2023-09-09,13,209,L,14,24,0,0,10.5,0,2,1.0,0.0
2023-09-09,209,13,W,24,14,0,0,13.5,1,1,1.0,0.5
2023-09-09,14,29,W,14,10,0,0,36.5,2,0,1.0,1.0
2023-09-09,29,14,L,10,14,1,0,34.0,1,1,0.0,1.0
2023-09-09,15,211,L,13,30,0,0,18.0,0,2,1.0,0.0
2023-09-09,211,15,W,30,13,1,0,39.5,2,0,1.0,1.0
2023-09-09,16,197,W,41,16,1,0,27.5,2,0,1.0,1.0
2023-09-09,197,16,L,16,41,0,0,18.5,0,2,1.0,0.0
2023-09-09,17,70,L,3,45,0,0,8.5,0,2,1.0,0.0
2023-09-09,70,17,W,45,3,1,0,46.5,2,0,1.0,1.0
2023-09-09,18,238,L,13,20,1,0,22.0,0,2,0.0,1.0
2023-09-09,238,18,W,20,13,0,0,22.0,2,0,1.0,1.0
2023-09-09,20,227,L,16,18,1,0,17.5,0,2,0.0,0.0
2023-09-09,227,20,W,18,16,0,0,37.0,2,0,1.0,1.0
2023-09-09,21,78,W,31,28,1,0,27.5,1,1,0.5,0.0
2023-09-09,78,21,L,28,31,0,0,35.0,1,1,1.0,0.0
2023-09-09,22,55,W,38,15,1,0,31.0,1,1,1.0,0.0
2023-09-09,55,22,L,15,38,0,0,21.0,1,1,1.0,0.5
2023-09-09,24,105,W,21,10,1,0,17.5,1,1,1.0,0.0
2023-09-09,105,24,L,10,21,0,0,10.0,0,2,0.0,0.0
2023-09-09,25,239,W,21,13,1,0,12.0,1,1,1.0,0.0
2023-09-09,239,25,L,13,21,0,0,12.5,1,1,1.0,0.0
2023-09-09,26,65,L,37,40,1,0,27.0,0,2,0.0,0.0
2023-09-09,65,26,W,40,37,0,0,33.0,2,1,1.0,0.5
2023-09-09,28,186,L,3,59,0,0,15.0,1,1,1.0,0.0
2023-09-09,186,28,W,59,3,1,1,34.666666666666664,1,2,0.5,0.0
2023-09-09,30,218,W,56,7,0,0,40.0,1,1,0.0,1.0
2023-09-09,218,30,L,7,56,1,0,3.5,0,2,0.0,0.0
2023-09-09,32,203,L,30,33,1,0,37.0,1,1,0.5,0.0
2023-09-09,203,32,W,33,30,0,0,25.0,1,1,0.0,1.0
2023-09-09,33,138,W,45,42,1,0,26.0,1,1,1.0,0.0
2023-09-09,138,33,L,42,45,0,0,46.5,1,1,1.0,0.5
2023-09-09,34,38,L,17,66,0,0,15.0,1,1,1.0,0.0
2023-09-09,38,34,W,66,17,1,0,36.5,1,1,1.0,0.0
2023-09-09,35,112,L,20,38,0,0,22.0,1,1,1.0,0.0
2023-09-09,112,35,W,38,20,1,0,38.0,2,0,1.0,1.0
2023-09-09,36,96,W,27,20,1,0,27.0,1,1,1.0,0.0
2023-09-09,96,36,L,20,27,0,0,29.0,1,1,1.0,0.0
2023-09-09,37,167,W,27,21,0,0,46.5,2,0,1.0,1.0
2023-09-09,167,37,L,21,27,1,0,33.0,1,1,0.5,0.0
2023-09-09,39,92,W,30,16,1,0,21.5,1,1,1.0,0.0
2023-09-09,92,39,L,16,30,0,0,27.33333333333333,2,1,1.0,0.0
2023-09-09,40,242,L,19,42,0,0,9.5,0,2,0.0,0.0
2023-09-09,242,40,W,42,19,1,0,40.0,2,0,1.0,1.0
2023-09-09,41,136,W,36,14,1,0,40.5,2,0,1.0,1.0
2023-09-09,136,41,L,14,36,0,0,12.0,0,2,1.0,0.0
2023-09-09,48,165,L,7,63,0,0,22.0,1,1,1.0,0.5
2023-09-09,165,48,W,63,7,1,0,50.5,2,0,1.0,1.0
2023-09-09,51,100,W,42,7,1,0,35.0,2,0,1.0,1.0
2023-09-09,100,51,L,7,42,0,0,13.0,1,1,1.0,0.5
2023-09-09,52,250,L,17,56,0,0,33.0,1,1,1.0,0.0
2023-09-09,250,52,W,56,17,1,0,35.5,1,1,1.0,0.0
2023-09-09,53,111,L,13,31,1,0,8.0,0,2,0.0,0.0
2023-09-09,111,53,W,31,13,0,0,26.0,2,0,1.0,1.0
2023-09-09,56,98,L,17,28,0,0,15.0,0,2,0.0,0.0
2023-09-09,98,56,W,28,17,1,0,36.0,2,0,1.0,1.0
2023-09-09,57,123,L,6,25,0,0,19.5,1,1,1.0,0.0
2023-09-09,123,57,W,25,6,1,0,19.0,2,0,1.0,0.0
2023-09-09,58,66,L,31,34,0,0,20.5,0,2,1.0,0.0
2023-09-09,66,58,W,34,31,1,0,36.5,2,0,1.0,1.0
2023-09-09,59,68,L,27,34,0,0,22.0,0,2,1.0,0.0
2023-09-09,68,59,W,34,27,1,0,29.0,1,1,1.0,0.0
2023-09-09,60,192,L,24,38,0,0,26.0,1,1,1.0,0.5
2023-09-09,192,60,W,38,24,1,0,31.0,1,1,1.0,0.0
2023-09-09,61,157,L,10,17,1,0,26.0,1,1,0.5,0.0
2023-09-09,157,61,W,17,10,0,0,19.0,2,1,1.0,0.5
2023-09-09,62,114,W,49,7,1,0,30.0,1,1,1.0,0.0
2023-09-09,114,62,L,7,49,0,0,20.5,0,2,0.0,0.0
2023-09-09,63,149,W,46,39,1,0,25.666666666666668,2,1,1.0,0.0
2023-09-09,149,63,L,39,46,0,0,30.0,0,2,0.0,0.0
2023-09-09,64,196,W,66,13,1,0,55.5,2,0,1.0,1.0
2023-09-09,196,64,L,13,66,0,0,26.5,1,1,1.0,0.0
2023-09-09,67,188,L,21,47,0,0,33.0,1,1,1.0,0.0
2023-09-09,188,67,W,47,21,1,0,32.0,1,1,1.0,0.0
2023-09-09,69,181,W,27,10,1,0,38.0,2,0,1.0,0.0
2023-09-09,181,69,L,10,27,0,0,12.0,0,2,0.0,0.0
2023-09-09,71,224,W,49,35,1,0,41.5,2,0,1.0,0.0
2023-09-09,224,71,L,35,49,0,0,35.0,1,1,1.0,0.0
2023-09-09,72,229,W,35,14,1,0,38.5,2,0,1.0,1.0
2023-09-09,229,72,L,14,35,0,0,14.0,0,2,0.0,0.0
2023-09-09,73,189,W,48,13,1,0,41.0,1,1,1.0,0.0
2023-09-09,189,73,L,13,48,0,0,7.666666666666667,0,3,1.0,0.0
2023-09-09,74,99,L,10,72,0,0,20.5,0,2,1.0,0.0
2023-09-09,99,74,W,72,10,1,0,48.0,1,1,1.0,0.0
2023-09-09,75,142,L,23,31,1,0,29.0,1,1,0.0,1.0
2023-09-09,142,75,W,31,23,0,0,27.5,1,1,0.0,1.0
2023-09-09,77,225,W,31,20,1,0,27.666666666666668,1,2,0.5,0.0
2023-09-09,225,77,L,20,31,0,0,23.666666666666668,1,2,1.0,0.0
2023-09-09,79,253,L,22,52,0,0,44.0,1,1,1.0,0.0
2023-09-09,253,79,W,52,22,1,0,46.5,2,0,1.0,0.0
2023-09-09,80,174,L,41,43,0,0,29.0,1,1,1.0,0.0
